structName,structType,K,N,Dim,avgRuntime
KD,2,30,130000,2,3071
KD,2,40,130000,2,4658
KD,2,50,130000,2,6451
KD,2,60,130000,2,8627
KD,2,70,130000,2,10828
KD,2,80,130000,2,13467
KD,2,90,130000,2,16052
KD,2,100,130000,2,18786
KD,2,10,140000,2,686
KD,2,20,140000,2,1745
KD,2,30,140000,2,3087
KD,2,40,140000,2,4657
KD,2,50,140000,2,6430
KD,2,60,140000,2,8336
KD,2,70,140000,2,10427
KD,2,80,140000,2,12761
KD,2,90,140000,2,15350
KD,2,100,140000,2,18025
KD,2,10,150000,2,658
KD,2,20,150000,2,1697
KD,2,30,150000,2,2994
KD,2,40,150000,2,4612
KD,2,50,150000,2,6427
KD,2,60,150000,2,8448
KD,2,70,150000,2,10577
KD,2,80,150000,2,13109
KD,2,90,150000,2,15890
KD,2,100,150000,2,18816
KD,2,10,160000,2,773
KD,2,20,160000,2,2082
KD,2,30,160000,2,3717
KD,2,40,160000,2,5682
KD,2,50,160000,2,7915
KD,2,60,160000,2,10347
KD,2,70,160000,2,13024
KD,2,80,160000,2,15910
KD,2,90,160000,2,18963
KD,2,100,160000,2,22162
KD,2,10,170000,2,520
KD,2,20,170000,2,1358
KD,2,30,170000,2,2427
KD,2,40,170000,2,3720
KD,2,50,170000,2,5130
KD,2,60,170000,2,6697
KD,2,70,170000,2,8456
KD,2,80,170000,2,10422
KD,2,90,170000,2,12531
KD,2,100,170000,2,14807
KD,2,10,180000,2,626
KD,2,20,180000,2,1617
KD,2,30,180000,2,2856
KD,2,40,180000,2,4366
KD,2,50,180000,2,6103
KD,2,60,180000,2,7953
KD,2,70,180000,2,10007
KD,2,80,180000,2,12169
KD,2,90,180000,2,14485
KD,2,100,180000,2,16999
KD,2,10,190000,2,500
KD,2,20,190000,2,1309
KD,2,30,190000,2,2288
KD,2,40,190000,2,3532
KD,2,50,190000,2,4909
KD,2,60,190000,2,6400
KD,2,70,190000,2,8023
KD,2,80,190000,2,9801
KD,2,90,190000,2,11722
KD,2,100,190000,2,13788
KD,2,10,200000,2,796
KD,2,20,200000,2,2036
KD,2,30,200000,2,3599
KD,2,40,200000,2,5553
KD,2,50,200000,2,7755
KD,2,60,200000,2,10182
KD,2,70,200000,2,12888
KD,2,80,200000,2,15925
KD,2,90,200000,2,19134
KD,2,100,200000,2,22620
KD,2,10,10000,3,101
KD,2,20,10000,3,255
KD,2,30,10000,3,446
KD,2,40,10000,3,689
KD,2,50,10000,3,953
KD,2,60,10000,3,1241
KD,2,70,10000,3,1570
KD,2,80,10000,3,1929
KD,2,90,10000,3,2324
KD,2,100,10000,3,2738
KD,2,10,20000,3,132
KD,2,20,20000,3,337
KD,2,30,20000,3,588
KD,2,40,20000,3,899
KD,2,50,20000,3,1262
KD,2,60,20000,3,1645
KD,2,70,20000,3,2081
KD,2,80,20000,3,2548
KD,2,90,20000,3,3060
KD,2,100,20000,3,3618
KD,2,10,30000,3,143
KD,2,20,30000,3,374
KD,2,30,30000,3,673
KD,2,40,30000,3,1044
KD,2,50,30000,3,1467
KD,2,60,30000,3,1932
KD,2,70,30000,3,2448
KD,2,80,30000,3,3021
KD,2,90,30000,3,3628
KD,2,100,30000,3,4281
KD,2,10,40000,3,157
KD,2,20,40000,3,397
