structName,structType,K,N,Dim,avgRuntime
Bucket,0,70,30000,4,274316
Bucket,0,80,30000,4,346018
Bucket,0,90,30000,4,436289
Bucket,0,100,30000,4,539092
Bucket,0,10,40000,4,13778
Bucket,0,20,40000,4,30815
Bucket,0,30,40000,4,61980
Bucket,0,40,40000,4,94427
Bucket,0,50,40000,4,137308
Bucket,0,60,40000,4,188656
Bucket,0,70,40000,4,239780
Bucket,0,80,40000,4,298804
Bucket,0,90,40000,4,371956
Bucket,0,100,40000,4,448671
Bucket,0,10,50000,4,10054
Bucket,0,20,50000,4,24687
Bucket,0,30,50000,4,47885
Bucket,0,40,50000,4,74139
Bucket,0,50,50000,4,105037
Bucket,0,60,50000,4,154829
Bucket,0,70,50000,4,201969
Bucket,0,80,50000,4,257663
Bucket,0,90,50000,4,315970
Bucket,0,100,50000,4,375090
Bucket,0,10,60000,4,9423
Bucket,0,20,60000,4,21177
Bucket,0,30,60000,4,37411
Bucket,0,40,60000,4,61444
Bucket,0,50,60000,4,88545
Bucket,0,60,60000,4,118343
Bucket,0,70,60000,4,154078
Bucket,0,80,60000,4,198062
Bucket,0,90,60000,4,256921
Bucket,0,100,60000,4,313858
Bucket,0,10,70000,4,9350
Bucket,0,20,70000,4,20168
Bucket,0,30,70000,4,35584
Bucket,0,40,70000,4,58978
Bucket,0,50,70000,4,86780
Bucket,0,60,70000,4,116452
Bucket,0,70,70000,4,150260
Bucket,0,80,70000,4,188320
Bucket,0,90,70000,4,237421
Bucket,0,100,70000,4,287928
Bucket,0,10,80000,4,4389
Bucket,0,20,80000,4,13119
Bucket,0,30,80000,4,24928
Bucket,0,40,80000,4,43655
Bucket,0,50,80000,4,62666
Bucket,0,60,80000,4,90862
Bucket,0,70,80000,4,121498
Bucket,0,80,80000,4,153825
Bucket,0,90,80000,4,191842
Bucket,0,100,80000,4,235041
Bucket,0,10,90000,4,8499
Bucket,0,20,90000,4,17480
Bucket,0,30,90000,4,31718
Bucket,0,40,90000,4,51432
Bucket,0,50,90000,4,77214
Bucket,0,60,90000,4,107174
Bucket,0,70,90000,4,139795
Bucket,0,80,90000,4,172836
Bucket,0,90,90000,4,206645
Bucket,0,100,90000,4,247458
Bucket,0,10,100000,4,3691
Bucket,0,20,100000,4,11038
Bucket,0,30,100000,4,24761
Bucket,0,40,100000,4,39088
Bucket,0,50,100000,4,57688
Bucket,0,60,100000,4,77512
Bucket,0,70,100000,4,103915
Bucket,0,80,100000,4,131485
Bucket,0,90,100000,4,160958
